,0
0,2016-04-06 15:50:00
1,2016-04-06 16:00:00
2,2016-04-06 16:10:00
3,2016-04-06 16:20:00
4,2016-04-06 16:30:00
5,2016-04-06 16:40:00
6,2016-04-06 16:50:00
7,2016-04-06 17:00:00
8,2016-04-06 17:10:00
9,2016-04-06 17:20:00
10,2016-04-06 17:30:00
11,2016-04-06 17:40:00
12,2016-04-06 17:50:00
13,2016-04-06 18:00:00
14,2016-04-06 18:10:00
15,2016-04-06 18:20:00
16,2016-04-06 18:30:00
17,2016-04-06 18:40:00
18,2016-04-06 18:50:00
19,2016-04-06 19:00:00
20,2016-04-06 19:10:00
21,2016-04-06 19:20:00
22,2016-04-06 19:30:00
23,2016-04-06 19:40:00
24,2016-04-06 19:50:00
25,2016-04-06 20:00:00
26,2016-04-06 20:10:00
27,2016-04-06 20:20:00
28,2016-04-06 20:30:00
29,2016-04-06 20:40:00
30,2016-04-06 20:50:00
31,2016-04-06 21:00:00
32,2016-04-06 21:10:00
33,2016-04-06 21:20:00
34,2016-04-06 21:30:00
35,2016-04-06 21:40:00
36,2016-04-06 21:50:00
37,2016-04-06 22:00:00
38,2016-04-06 22:10:00
39,2016-04-06 22:20:00
40,2016-04-06 22:30:00
41,2016-04-06 22:40:00
42,2016-04-06 22:50:00
43,2016-04-06 23:00:00
44,2016-04-06 23:10:00
45,2016-04-06 23:20:00
46,2016-04-06 23:30:00
47,2016-04-06 23:40:00
48,2016-04-06 23:50:00
49,2016-04-07 00:00:00
50,2016-04-07 00:10:00
51,2016-04-07 00:20:00
52,2016-04-07 00:30:00
53,2016-04-07 00:40:00
54,2016-04-07 00:50:00
55,2016-04-07 01:00:00
56,2016-04-07 01:10:00
57,2016-04-07 01:20:00
58,2016-04-07 01:30:00
59,2016-04-07 01:40:00
60,2016-04-07 01:50:00
61,2016-04-07 02:00:00
62,2016-04-07 02:10:00
63,2016-04-07 02:20:00
64,2016-04-07 02:30:00
65,2016-04-07 02:40:00
66,2016-04-07 02:50:00
67,2016-04-07 03:00:00
68,2016-04-07 03:10:00
69,2016-04-07 03:20:00
70,2016-04-07 03:30:00
71,2016-04-07 03:40:00
72,2016-04-07 03:50:00
73,2016-04-07 04:00:00
74,2016-04-07 04:10:00
75,2016-04-07 04:20:00
76,2016-04-07 04:30:00
77,2016-04-07 04:40:00
78,2016-04-07 04:50:00
79,2016-04-07 05:00:00
80,2016-04-07 05:10:00
81,2016-04-07 05:20:00
82,2016-04-07 05:30:00
83,2016-04-07 05:40:00
84,2016-04-07 05:50:00
85,2016-04-07 06:00:00
86,2016-04-07 06:10:00
87,2016-04-07 06:20:00
88,2016-04-07 06:30:00
89,2016-04-07 06:40:00
90,2016-04-07 06:50:00
91,2016-04-07 07:00:00
92,2016-04-07 07:10:00
93,2016-04-07 07:20:00
94,2016-04-07 07:30:00
95,2016-04-07 07:40:00
96,2016-04-07 07:50:00
97,2016-04-07 08:00:00
98,2016-04-07 08:10:00
99,2016-04-07 08:20:00
100,2016-04-07 08:30:00
101,2016-04-07 08:40:00
102,2016-04-07 08:50:00
103,2016-04-07 09:00:00
104,2016-04-07 09:10:00
105,2016-04-07 09:20:00
106,2016-04-07 09:30:00
107,2016-04-07 09:40:00
108,2016-04-07 09:50:00
109,2016-04-07 10:00:00
110,2016-04-07 10:10:00
111,2016-04-07 10:20:00
112,2016-04-07 10:30:00
113,2016-04-07 10:40:00
114,2016-04-07 10:50:00
115,2016-04-07 11:00:00
116,2016-04-07 11:10:00
117,2016-04-07 11:20:00
118,2016-04-07 11:30:00
119,2016-04-07 11:40:00
120,2016-04-07 11:50:00
121,2016-04-12 02:20:00
122,2016-04-12 02:30:00
123,2016-04-12 02:40:00
124,2016-04-12 02:50:00
125,2016-04-12 03:00:00
126,2016-04-12 03:10:00
127,2016-04-12 03:20:00
128,2016-04-12 03:30:00
129,2016-04-12 03:40:00
130,2016-04-12 03:50:00
131,2016-04-12 04:00:00
132,2016-04-12 04:10:00
133,2016-04-12 04:20:00
134,2016-04-12 04:30:00
135,2016-04-12 04:40:00
136,2016-04-12 04:50:00
137,2016-04-12 05:00:00
138,2016-04-12 05:10:00
139,2016-04-12 05:20:00
140,2016-04-12 05:30:00
141,2016-04-12 05:40:00
142,2016-04-12 05:50:00
143,2016-04-12 06:00:00
144,2016-04-12 06:10:00
145,2016-04-12 06:20:00
146,2016-04-12 06:30:00
147,2016-04-12 06:40:00
148,2016-04-12 06:50:00
149,2016-04-12 07:00:00
150,2016-04-12 07:10:00
151,2016-04-12 07:20:00
152,2016-04-12 07:30:00
153,2016-04-12 07:40:00
154,2016-04-12 07:50:00
155,2016-04-12 08:00:00
156,2016-04-12 08:10:00
157,2016-04-12 08:20:00
158,2016-04-12 08:30:00
159,2016-04-12 08:40:00
160,2016-04-12 08:50:00
161,2016-04-12 09:00:00
162,2016-04-12 09:10:00
163,2016-04-12 09:20:00
164,2016-04-12 09:30:00
165,2016-04-12 09:40:00
166,2016-04-12 09:50:00
167,2016-04-12 10:00:00
168,2016-04-12 10:10:00
169,2016-04-12 10:20:00
170,2016-04-12 10:30:00
171,2016-04-12 10:40:00
172,2016-04-12 10:50:00
173,2016-04-12 11:00:00
174,2016-04-12 11:10:00
175,2016-04-12 11:20:00
176,2016-04-12 11:30:00
177,2016-04-12 11:40:00
178,2016-04-12 11:50:00
179,2016-04-12 12:00:00
180,2016-04-12 12:10:00
181,2016-04-12 12:20:00
182,2016-04-12 12:30:00
183,2016-04-12 12:40:00
184,2016-04-12 12:50:00
185,2016-04-12 13:00:00
186,2016-04-12 13:10:00
187,2016-04-12 13:20:00
188,2016-04-12 13:30:00
189,2016-04-12 13:40:00
190,2016-04-12 13:50:00
191,2016-04-12 14:00:00
192,2016-04-12 14:10:00
193,2016-04-12 14:20:00
194,2016-04-12 14:30:00
195,2016-04-12 14:40:00
196,2016-04-12 14:50:00
197,2016-04-12 15:00:00
198,2016-04-12 15:10:00
199,2016-04-12 15:20:00
200,2016-04-12 15:30:00
201,2016-04-12 15:40:00
202,2016-04-12 15:50:00
203,2016-04-12 16:00:00
204,2016-04-12 16:10:00
205,2016-04-12 16:20:00
206,2016-04-12 16:30:00
207,2016-04-12 16:40:00
208,2016-04-12 16:50:00
209,2016-04-12 17:00:00
210,2016-04-12 17:10:00
211,2016-04-12 17:20:00
212,2016-04-12 17:30:00
213,2016-04-12 17:40:00
214,2016-04-12 17:50:00
215,2016-04-12 18:00:00
216,2016-04-12 18:10:00
217,2016-04-12 18:20:00
218,2016-04-12 18:30:00
219,2016-04-12 18:40:00
220,2016-04-12 18:50:00
221,2016-04-12 19:00:00
222,2016-04-12 19:10:00
223,2016-04-12 19:20:00
224,2016-04-12 19:30:00
225,2016-04-12 19:40:00
226,2016-04-12 19:50:00
227,2016-04-12 20:00:00
228,2016-04-12 20:10:00
229,2016-04-12 20:20:00
230,2016-04-12 20:30:00
231,2016-04-12 20:40:00
232,2016-04-12 20:50:00
233,2016-04-12 21:00:00
234,2016-04-12 21:10:00
235,2016-04-12 21:20:00
236,2016-04-12 21:30:00
237,2016-04-12 21:40:00
238,2016-04-12 21:50:00
239,2016-04-12 22:00:00
240,2016-04-12 22:10:00
241,2016-04-12 22:20:00
242,2016-04-12 22:30:00
243,2016-04-12 22:40:00
244,2016-04-12 22:50:00
245,2016-04-12 23:00:00
246,2016-04-12 23:10:00
247,2016-04-12 23:20:00
248,2016-04-12 23:30:00
249,2016-04-12 23:40:00
250,2016-04-12 23:50:00
251,2016-04-13 00:00:00
252,2016-04-13 00:10:00
253,2016-04-13 00:20:00
254,2016-04-13 00:30:00
255,2016-04-13 00:40:00
256,2016-04-13 00:50:00
257,2016-04-13 01:00:00
258,2016-04-13 01:10:00
259,2016-04-13 01:20:00
260,2016-04-13 01:30:00
261,2016-04-13 01:40:00
262,2016-04-13 01:50:00
263,2016-04-13 02:00:00
264,2016-04-13 02:10:00
